Domain,Have_IP,Have_At_Sign,Length,Depth,Redirection,HTTPS_Domain,TinyUrl,Prefix_Suffix,Has_DNS,Domain_Age,Domain_End,IFrame,web_Forwarding,Check_Alert_Script,Label
hoermann.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
yokotake.co.jp,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
outlookacademy.in,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
mfa.gov.rs,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bliztcinema.top,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
newhollandsp.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
alfa.com.tr,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
wz-agenda.net,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
debian.org,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ideasdiy.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
lemezkucko.hu,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
archiprofi.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
yulbang.or.kr,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
select-one1.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
aham.jp,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
lp3i.ac.id,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
gfwiki.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
resaltomag.blogspot.gr,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
smiledd.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
homesthetics.net,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
strichka.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
moteco-web.jp,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
scst.edu.cn,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ccnsite.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
fenix64.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
jogc.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
wcv.it,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
lvye.org,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
zhurnal.mk,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
alloutdoor.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
fitnessgenes.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
thepleasurepantry.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
frankie.com.au,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
scholarvox.com,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
forthefirsttimer.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
transerfingon.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
scargill.net,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
alhazme.net,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
edubuzzkids.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
iransafebox.com,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
ohme.pl,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
motodart.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
musejapan.jp,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
codigoespagueti.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
21ds.cn,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bokepngentot.club,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
nakaden.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
xiaomi.uz,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bora.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
sysadmins.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
videobuzzy.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
zilart.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
westportbigandtall.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
netflixmoovie.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bloghospedandosites.com.br,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
e-paperview.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
herc.com.br,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
golos.com.ua,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
tarahan.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
weeklypostcodelottery.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
tusmedia.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
spaceweathergallery.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
menlog.net,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
91job.gov.cn,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
furuitang.tmall.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
posglobal.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
pcdnetwork.org,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
santaluciaseguros.es,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
sport365.gr,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
heritagebanknw.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
between-legs.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
glavoptovik.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
dictate.azurewebsites.net,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
nkiwi.de,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
textoemmovimento.blogspot.com.br,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
volbeat.dk,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ste-michelle.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
teknolojibulteni.tv,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
topluping.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bankbnp.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
aromalefkadas.gr,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
medbrowse.com.ua,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
allaccessinc.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
tchek.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
cartoonnetwork.ca,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
music-videos-download.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ayurvedaplace.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
avantel.com.co,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
tudnodkell.info,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
b33croft.com,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
daviwp.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
thechoeshow.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
prophp.org,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
emathzone.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
allemagne-au-max.com,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
esb.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
leedsfestival.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bizarrocomics.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
modificator.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bethaber3.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ebrso.org,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
so-ups.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
adm.jp,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
